91253,-127.87,-77.09,910.28,61,31,99,136.29,203.96,-341.71
91264,-129.58,-77.09,909.12,-38,137,53,138.10,191.29,-333.04
91272,-125.79,-73.30,915.83,46,130,46,138.10,191.29,-333.04
91281,-129.94,-74.65,912.29,107,282,15,138.10,191.29,-333.04
91290,-127.99,-74.71,908.87,15,183,92,138.10,191.29,-333.04
91299,-127.50,-75.87,911.80,8,0,46,138.10,191.29,-333.04
91309,-127.75,-74.89,911.56,-145,-175,15,138.10,191.29,-333.04
91318,-126.34,-75.50,910.77,-175,-114,15,138.10,191.29,-333.04
91326,-127.69,-74.52,913.27,23,8,69,138.10,191.29,-333.04
91335,-127.32,-74.46,912.35,38,69,-23,138.10,191.29,-333.04
91344,-128.66,-74.95,910.16,84,336,46,138.10,191.29,-333.04
91354,-129.09,-75.56,911.93,145,191,38,138.10,191.29,-333.04
91363,-126.95,-75.26,905.58,15,221,92,138.10,191.29,-333.04
91372,-126.10,-76.97,909.36,15,-84,76,138.10,191.29,-333.04
91381,-127.93,-74.65,908.69,-69,-137,107,138.10,191.29,-333.04
91390,-127.32,-74.34,915.16,23,0,92,127.24,198.53,-326.11
91400,-130.25,-74.58,912.60,-23,290,-23,127.24,198.53,-326.11
91409,-126.95,-73.61,913.64,99,389,76,127.24,198.53,-326.11
91418,-129.15,-76.60,909.48,76,381,53,127.24,198.53,-326.11
91427,-128.48,-73.49,905.58,84,114,38,127.24,198.53,-326.11
91437,-130.19,-77.09,911.07,69,-38,-8,127.24,198.53,-326.11
91446,-127.93,-77.70,910.58,-8,-107,46,127.24,198.53,-326.11
91454,-127.14,-78.19,911.56,-38,-23,15,127.24,198.53,-326.11
91463,-128.17,-77.03,909.97,-46,0,69,127.24,198.53,-326.11
91472,-128.23,-75.62,915.22,-61,92,122,127.24,198.53,-326.11
91482,-127.87,-76.72,907.65,92,351,0,127.24,198.53,-326.11
91491,-127.14,-74.83,908.14,-76,252,46,127.24,198.53,-326.11
91500,-129.64,-76.97,905.94,53,137,53,127.24,198.53,-326.11
91510,-128.60,-73.36,905.52,-92,-99,53,136.29,196.72,-327.84
91518,-127.93,-74.22,913.94,8,-61,99,136.29,196.72,-327.84
91528,-126.34,-74.89,913.09,-53,8,76,136.29,196.72,-327.84
